ID,Nombre,Peso (kg),Precio normal,Disponibilidad 
652,ACEITE DE COCO ,16,590240,AGOTADO
653,ACEITE DE COCO EXTRA VIRGEN ,1000,33320000,DISPONIBLE
479,AJONJOLÍ BLANCO - NEGRO ,25,,DISPONIBLE
476,AJONJOLÍ DESCORTEZADO TOSTADO ,25,386750,DISPONIBLE
478,AJONJOLÍ NEGRO ,25,728875,DISPONIBLE
477,AJONJOLÍ DESCORTEZADO ,25,386750,DISPONIBLE
429,ALBARICOQUE ,10,476000,DISPONIBLE
428,ALBARICOQUE EN TROZOS ,8,476000,DISPONIBLE
646,ALMENDRA LAMINADA ,11,805392,DISPONIBLE
401,ALMENDRA NATURAL ,22,805392,DISPONIBLE
402,ALMENDRA TOSTADA ,25,805392,DISPONIBLE
423,ARANDANOS DESHIDRATADOS ,11,269892,DISPONIBLE
635,ARANDANOS RECUBIERTO DE YOGURT ,12,599760,DISPONIBLE
444,ARROZ BASMATI DE LA INDIA ,25,110670,DISPONIBLE
446,ARROZ JAPÓNICA ,25,110670,DISPONIBLE
445,ARROZ JAZMÍN ,25,110670,DISPONIBLE
414,AVELLANA ,10,892500,DISPONIBLE
443,AVENA EN HOJUELAS ,25,84000,DISPONIBLE
654,AZUCAR DE DATIL CAJA ,10,275000,DISPONIBLE
669,BAYAS DE GOJI ,20,904400,DISPONIBLE
440,CANELA CEYLON EN ASTILLAS EXTRA No1 CAJA ,10,654500,DISPONIBLE
655,CANELA CEYLON EN ASTILLAS H2 SUPER 21 PULGADAS CAJA ,10,654500,DISPONIBLE
442,CANELA CEYLON EN CHIPS,15,654500,DISPONIBLE
656,CANELA CEYLON MOLIDA,25,654500,DISPONIBLE
441,CANELA QUILLING ,15,654500,DISPONIBLE
493,CHIPS DE BANANO DULCE ,6,249900,DISPONIBLE
448,CHOCODISCOS COLORES SURTIDOS ,10,279650,DISPONIBLE
426,CIRUELAS PASAS ,10,202300,DISPONIBLE
418,COCO DESHIDRATADO CABELLO DE ANGEL SIN AZUCAR ,10,214200,DISPONIBLE
419,COCO EN HOJUELAS SIN AZUCAR  ,10,214200,DISPONIBLE
415,COCO RALLADO  ,25,214200,DISPONIBLE
456,CORAZONES RECUBIERTOS DE CHOCOLATE COLORES SURTIDOS ,10,279650,DISPONIBLE
458,CORAZONES RECUBIERTOS DE CHOCOLATE ROJO/ROSADO/BLANCO ,10,279650,DISPONIBLE
430,DÁTILES ,10,210000,DISPONIBLE
526,DATILES EN TROZOS ,8,176000,DISPONIBLE
1210,ESFERAS DE CEREAL RECUBIERTA DE CHOCOLATE  ,10,279650,DISPONIBLE
557,ESFERAS DE CEREAL RECUBIERTA DE CHOCOLATE COLOR SURTIDO ,10,279650,DISPONIBLE
657,GELATINA SIN SABOR BLOOM 250  ,25,818125,DISPONIBLE
489,GIRASOL CROCANTE TIPO JAPONES ,10,279650,DISPONIBLE
473,GIRASOL DESCORTEZADO ,25,279650,DISPONIBLE
453,GIRASOL RECUBIERTO DE CHOCOLATE OSCURO ,10,279650,DISPONIBLE
455,GIRASOLES RECUBIERTOS DE CHOCOLATE COLORES ,10,,DISPONIBLE
1161,GLUTEN DE TRIGIGO VITAL,25,291550,DISPONIBLE
517,GOJI BERRY ,20,904400,DISPONIBLE
492,HABAS TOSTADAS ,25,505750,DISPONIBLE
406,HARINA DE ALMENDRA ,11,368900,DISPONIBLE
437,HARINA DE CENTENO ,22,368900,DISPONIBLE
436,HARINA DE COCO ORGANICA  ,20,368900,DISPONIBLE
420,HIGOS EN TROZOS ,8,400000,DISPONIBLE
516,HIGOS PERSAS MINIATURA CAJA ,10,400000,DISPONIBLE
427,LIMON ITALIANO AMARILLO DESHIDRATADO EN RODAJAS ,4,260000,DISPONIBLE
490,MAIZ TOSTADO ,25,190400,DISPONIBLE
416,MANDARINA DESHIDRATADA EN RODAJAS ,4,268000,DISPONIBLE
637,MANI ACHOCOLATADO COLOR CHOCOLATE ,10,255850,DISPONIBLE
452,MANI ACHOCOLATADO HUEVOS DE DINOSAURIO ,10,255850,DISPONIBLE
133,MANÍ BLANCHEADO ,50,,DISPONIBLE
647,MANÍ BOLITA ENTERO ,25,452200,DISPONIBLE
134,MANÍ CON PIEL ,50,428400,DISPONIBLE
136,MANÍ CONFITADO CON Y SIN ATONJOLÍ ,12,137263,DISPONIBLE
649,MANÍ CONFITADO ROJO ,12,137263,DISPONIBLE
650,MANÍ CROCANTE CON AJONJOLÍ ,10,137263,DISPONIBLE
638,MANI CROCANTE RECUBIERTO DE YOGURT ,12,255850,DISPONIBLE
